trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
1,2026-01-08,lck challengers,bo3,Dplus Kia Challengers,Nongshim Esports Academy,0.682,0.495,0.187,0.04,0.535,300.0,20.0,LOSS,-20.0,980.0,-0.375,0.12,N,31080.0,Nongshim Esports Academy
2,2026-01-14,road of legends,bo1,ZennIT,mCon esports,0.63,0.5,0.13,0.05,0.55,150.0,19.6,WIN,16.04,996.04,0.3,0.8,Y,13906.0,ZennIT
3,2026-01-14,road of legends,bo1,Once Upon A Team,UniQ Esports Club,0.429,0.26,0.169,0.05,0.31,147.44,19.92,LOSS,-19.92,976.12,0.15,0.41,Y,7372.0,Senshi Esports Club
4,2026-01-14,road of legends,bo1,UniQ Esports Club,mCon esports,0.602,0.5,0.102,0.04,0.54,300.0,19.52,WIN,16.63,992.75,0.355,0.855,Y,25401.0,Senshi Esports Club
5,2026-01-14,lck challengers,bo3,Gen.G Global Academy,Hanwha Life Esports Challengers,0.546,0.24,0.306,0.03,0.27,500.0,19.86,LOSS,-19.86,972.89,0.285,0.525,Y,80223.0,Hanwha Life Esports Challengers
6,2026-01-17,lck challengers,bo3,KT Rolster Challengers,Gen.G Global Academy,0.867,0.5,0.367,0.03,0.53,500.0,19.46,WIN,17.26,990.15,0.165,0.665,Y,328250.0,KT Rolster Challengers
7,2026-01-17,lck challengers,bo3,Hanwha Life Esports Challengers,BNK FEARX Youth,0.417,0.28,0.137,0.03,0.31,500.0,19.8,LOSS,-19.8,970.35,-0.155,0.125,N,72979.0,BNK FearX Youth
8,2026-01-17,nlc,bo1,Verdant,DMG Esports,0.648,0.46,0.188,0.04,0.5,300.0,19.41,LOSS,-19.41,950.94,0.27,0.73,Y,32639.0,DMG Esports
9,2026-01-17,lck challengers,bo3,Dplus Kia Challengers,BNK FEARX Youth,0.572,0.35,0.222,0.04,0.39,300.0,19.02,LOSS,-19.02,931.92,0.26,0.61,Y,44594.0,BNK FearX Youth
10,2026-01-19,road of legends,bo3,Myth Esports,Once Upon A Team,0.574,0.38,0.194,0.06,0.44,45.11,18.64,WIN,23.72,955.64,0.49,0.87,Y,3008.0,Myth Esports
11,2026-01-24,lfl,bo1,Vitality.Bee,Solary,0.669,0.215,0.454,0.04,0.255,300.0,19.11,LOSS,-19.11,936.53,0.02,0.235,Y,48882.0,Solary
12,2026-01-24,lfl,bo1,Esprit Shōnen,Galions,0.337,0.2,0.137,0.03,0.23,500.0,18.73,LOSS,-18.73,917.8,0.18,0.38,Y,57139.0,Galions
13,2026-01-24,nlc,bo1,DMG Esports,Lundqvist Lightside,0.657,0.5,0.157,0.05,0.55,150.0,18.36,WIN,15.02,932.82,0.15,0.65,Y,9899.0,DMG Esports
14,2026-01-29,hitpoint,bo3,eSuba,Nightbirds,0.425,0.24,0.185,0.05,0.29,150.0,18.66,LOSS,-18.66,914.16,0.22,0.46,Y,9701.0,NightBirds
15,2026-01-31,road of legends,bo3,ZennIT,UniQ Esports Club,0.518,0.25,0.268,0.05,0.3,100.36,18.28,LOSS,-18.28,895.88,0.245,0.495,Y,5018.0,Senshi Esports Club
16,2026-01-31,road of legends,bo3,Dynasty,Once Upon A Team,0.538,0.32,0.218,0.04,0.36,300.0,17.92,WIN,31.86,927.74,0.27,0.59,Y,18357.0,Dynasty
17,2026-01-31,road of legends,bo3,Myth Esports,mCon esports,0.602,0.32,0.282,0.05,0.37,150.0,18.55,LOSS,-18.55,909.19,0.095,0.415,Y,11171.0,mCon esports
18,2026-02-01,lfl,bo1,Vitality.Bee,Joblife,0.666,0.5,0.166,0.04,0.54,300.0,18.18,LOSS,-18.18,891.01,-0.385,0.115,N,27843.0,Joblife
19,2026-02-01,lfl,bo1,Vitality.Bee,Solary,0.597,0.49,0.107,0.04,0.53,300.0,17.82,LOSS,-17.82,873.19,-0.245,0.245,N,22576.0,Solary
20,2026-02-01,lfl,bo1,Galions,Joblife,0.743,0.5,0.243,0.03,0.53,500.0,17.46,WIN,15.48,888.67,0.29,0.79,Y,84314.0,Galions
21,2026-02-01,tcl,bo3,Bushido Wildcats,Dark Passage,0.662,0.5,0.162,0.04,0.54,300.0,17.77,WIN,15.14,903.81,0.35,0.85,Y,48776.0,Bushido Wildcats
22,2026-02-05,lck challengers,bo5,Nongshim Esports Academy,Hanwha Life Esports Challengers,0.711,0.5,0.211,0.03,0.53,500.0,18.08,WIN,16.03,919.84,0.385,0.885,Y,417785.0,Nongshim Esports Academy
23,2026-02-08,road of legends,bo5,ZennIT,mCon esports,0.623,0.5,0.123,0.04,0.54,300.0,18.4,WIN,15.67,935.51,0.385,0.885,Y,18626.0,ZennIT
24,2026-02-09,lfl,bo1,Galions,Solary,0.696,0.505,0.191,0.03,0.535,500.0,18.71,LOSS,-18.71,916.8,-0.345,0.16,N,272381.0,Solary
25,2026-02-11,tcl,bo5,Bushido Wildcats,Dark Passage,0.719,0.5,0.219,0.04,0.54,300.0,18.34,WIN,15.62,932.42,0.395,0.895,Y,26246.0,Bushido Wildcats
26,2026-02-12,lfl,bo1,Galions,Vitality.Bee,0.759,0.51,0.249,0.03,0.54,500.0,18.65,LOSS,-18.65,913.77,-0.32,0.19,N,58948.0,Vitality.Bee
27,2026-02-13,tcl,bo5,Misa Esports,S2G Esports,0.732,0.505,0.227,0.04,0.545,300.0,18.28,WIN,15.26,929.03,0.365,0.87,Y,44604.0,Misa Esports
28,2026-02-13,tcl,bo5,Bushido Wildcats,SU Esports,0.716,0.51,0.206,0.03,0.54,500.0,18.58,WIN,15.83,944.86,0.125,0.635,Y,92524.0,Bushido Wildcats
29,2026-02-14,lfl,bo1,Galions,BK ROG Esports,0.629,0.5,0.129,0.03,0.53,500.0,18.9,WIN,16.76,961.62,0.19,0.69,Y,115646.0,Galions
30,2026-02-15,lfl,bo1,Joblife,Lille Esport,0.665,0.515,0.15,0.04,0.555,300.0,19.23,WIN,15.42,977.04,0.255,0.77,Y,28593.0,Joblife
31,2026-02-18,nlc,bo1,Verdant,Lundqvist Lightside,0.629,0.5,0.129,0.08,0.58,1.9,1.9,WIN,1.38,978.42,-0.01,0.49,N,190.0,Verdant
32,2026-02-18,lfl,bo1,Solary,Lille Esport,0.76,0.48,0.28,0.04,0.52,300.0,19.57,WIN,18.06,996.48,0.39,0.87,Y,37437.0,Solary
33,2026-02-19,lfl,bo1,Galions,French Flair,0.647,0.5,0.147,0.03,0.53,500.0,19.93,WIN,17.67,1014.15,0.19,0.69,Y,54104.0,Galions
34,2026-02-19,lfl,bo1,Galions,Joblife,0.627,0.5,0.127,0.04,0.54,300.0,20.28,WIN,17.28,1031.43,0.12,0.62,Y,23795.0,Galions
35,2026-02-21,ljl,bo1,Inferno Drive Tokyo,Fast8,0.689,0.5,0.189,0.08,0.58,4.83,4.83,WIN,3.5,1034.93,0.385,0.885,Y,483.0,Inferno Drive Tokyo
36,2026-02-23,ljl,bo1,Yang Yang Gaming,Rising Gaming,0.298,0.115,0.183,0.05,0.165,150.0,20.7,LOSS,-20.7,1014.23,0.42,0.535,Y,9565.0,Rising Gaming
37,2026-02-23,ljl,bo1,VARREL YOUTH,Fast8,0.604,0.375,0.229,0.08,0.455,9.95,9.95,WIN,11.92,1026.15,0.505,0.88,Y,995.0,VARREL YOUTH
