Date,Time (UTC),League,Best Of,Team A,Team B,Model Team A %,Model Team B %,Series A %,Series B %,Pinnacle Odds A,Pinnacle Odds B,Pinnacle Implied A %,Pinnacle Implied B %,Actual Winner,Model Correct?,Book Correct?,Notes
2026-06-19,10:00,VCS,Bo5,Saigon Dino,Saigon Zen Esport,54.6%,45.4%,58.7%,41.3%,,,,,,,,
2026-06-20,10:00,VCS,Bo5,TBD,Saigon Warrior,51.1%,48.9%,52.1%,47.9%,,,,,,,,
2026-06-30,15:00,Prime,Bo1,E Wie Einfach E-Sports,Berlin International Gaming,25.1%,74.9%,,,,,,,,,,
2026-06-30,16:00,Prime,Bo1,Eintracht Frankfurt,Unicorns of Love Sexy Edition,28.9%,71.0%,,,,,,,,,,
2026-06-30,17:00,Prime,Bo1,G2 NORD,Rossmann Centaurs,57.6%,42.4%,,,,,,,,,,
2026-06-30,18:00,Prime,Bo1,VfB Stuttgart,TeamOrangeGaming,41.4%,58.6%,,,,,,,,,,
2026-06-30,19:00,Prime,Bo1,Kaufland Hangry Knights,Eintracht Spandau,41.3%,58.7%,,,,,,,,,,
2026-07-01,15:00,Prime,Bo1,Eintracht Frankfurt,TeamOrangeGaming,41.4%,58.6%,,,,,,,,,,
2026-07-01,16:00,Prime,Bo1,G2 NORD,E Wie Einfach E-Sports,57.6%,42.4%,,,,,,,,,,
2026-07-01,17:00,Prime,Bo1,Eintracht Spandau,Rossmann Centaurs,71.8%,28.2%,,,,,,,,,,
2026-07-01,18:00,Prime,Bo1,VfB Stuttgart,Unicorns of Love Sexy Edition,28.9%,71.0%,,,,,,,,,,
2026-07-01,19:00,Prime,Bo1,Kaufland Hangry Knights,Berlin International Gaming,35.3%,64.7%,,,,,,,,,,
2026-07-02,15:00,Prime,Bo1,Eintracht Frankfurt,Rossmann Centaurs,51.1%,48.9%,,,,,,,,,,
2026-07-02,16:00,Prime,Bo1,Kaufland Hangry Knights,E Wie Einfach E-Sports,63.0%,37.0%,,,,,,,,,,
2026-07-02,17:00,Prime,Bo1,Eintracht Spandau,TeamOrangeGaming,63.1%,36.9%,,,,,,,,,,
2026-07-02,18:00,Prime,Bo1,VfB Stuttgart,G2 NORD,44.6%,55.4%,,,,,,,,,,
2026-07-02,19:00,Prime,Bo1,Unicorns of Love Sexy Edition,Berlin International Gaming,46.2%,53.8%,,,,,,,,,,
2026-07-07,15:00,Prime,Bo1,E Wie Einfach E-Sports,TeamOrangeGaming,41.4%,58.6%,,,,,,,,,,
2026-07-07,16:00,Prime,Bo1,Eintracht Spandau,Unicorns of Love Sexy Edition,49.7%,50.3%,,,,,,,,,,
2026-07-07,17:00,Prime,Bo1,G2 NORD,Eintracht Frankfurt,57.6%,42.4%,,,,,,,,,,
2026-07-07,18:00,Prime,Bo1,Rossmann Centaurs,Berlin International Gaming,25.1%,74.9%,,,,,,,,,,
2026-07-07,19:00,Prime,Bo1,G2 NORD,Kaufland Hangry Knights,45.4%,54.6%,,,,,,,,,,
2026-07-08,15:00,Prime,Bo1,Rossmann Centaurs,E Wie Einfach E-Sports,51.1%,48.9%,,,,,,,,,,
2026-07-08,16:00,Prime,Bo1,G2 NORD,Unicorns of Love Sexy Edition,34.6%,65.4%,,,,,,,,,,
2026-07-08,17:00,Prime,Bo1,Kaufland Hangry Knights,TeamOrangeGaming,53.5%,46.5%,,,,,,,,,,
2026-07-08,18:00,Prime,Bo1,VfB Stuttgart,Eintracht Spandau,30.1%,69.9%,,,,,,,,,,
2026-07-08,19:00,Prime,Bo1,Eintracht Frankfurt,Berlin International Gaming,25.1%,74.9%,,,,,,,,,,
2026-07-09,15:00,Prime,Bo1,Eintracht Spandau,E Wie Einfach E-Sports,71.8%,28.2%,,,,,,,,,,
2026-07-09,16:00,Prime,Bo1,Kaufland Hangry Knights,Unicorns of Love Sexy Edition,39.9%,60.1%,,,,,,,,,,
2026-07-09,17:00,Prime,Bo1,VfB Stuttgart,Rossmann Centaurs,51.1%,48.9%,,,,,,,,,,
2026-07-09,18:00,Prime,Bo1,TeamOrangeGaming,Berlin International Gaming,33.2%,66.8%,,,,,,,,,,
2026-07-09,19:00,Prime,Bo1,VfB Stuttgart,Eintracht Frankfurt,51.1%,48.9%,,,,,,,,,,
2026-07-13,15:00,Prime,Bo1,E Wie Einfach E-Sports,Unicorns of Love Sexy Edition,28.9%,71.0%,,,,,,,,,,
2026-07-13,16:00,Prime,Bo1,Kaufland Hangry Knights,Eintracht Frankfurt,63.0%,37.0%,,,,,,,,,,
2026-07-13,17:00,Prime,Bo1,Rossmann Centaurs,TeamOrangeGaming,41.4%,58.6%,,,,,,,,,,
2026-07-13,18:00,Prime,Bo1,Eintracht Frankfurt,E Wie Einfach E-Sports,51.1%,48.9%,,,,,,,,,,
2026-07-13,19:00,Prime,Bo1,VfB Stuttgart,Berlin International Gaming,25.1%,74.9%,,,,,,,,,,
2026-07-16,15:00,Prime,Bo1,Kaufland Hangry Knights,Rossmann Centaurs,63.0%,37.0%,,,,,,,,,,
2026-07-16,16:00,Prime,Bo1,G2 NORD,TeamOrangeGaming,47.8%,52.2%,,,,,,,,,,
2026-07-16,17:00,Prime,Bo1,VfB Stuttgart,Kaufland Hangry Knights,39.1%,60.9%,,,,,,,,,,
2026-07-16,18:00,Prime,Bo1,Eintracht Frankfurt,Eintracht Spandau,30.1%,69.9%,,,,,,,,,,
2026-07-16,19:00,Prime,Bo1,Unicorns of Love Sexy Edition,TeamOrangeGaming,64.4%,35.6%,,,,,,,,,,
